WAVE	FLUX	ERR
5025.306020443701	0.048358019441366196	0.2199045717716217
5025.350273264	0.04573214054107666	0.213850736618042
5025.3945260843	0.04102112352848053	0.2025367170572281
5025.4387789046	0.038019899278879166	0.19498692452907562
5025.4830317249	0.0409403033554554	0.2023371011018753
5025.5272845452	0.04547276347875595	0.21324343979358673
5025.5715373655	0.04854779690504074	0.22033564746379852
5025.6157901858005	0.04892255365848541	0.22118443250656128
5025.6600430061	0.04926934465765953	0.22196699678897858
5025.7042958264	0.049452777951955795	0.22237980365753174
5025.7485486467	0.04986695200204849	0.22330909967422485
5025.792801467	0.05024995282292366	0.22416500747203827
5025.8370542873	0.050293680280447006	0.2242625206708908
5025.8813071076	0.051399748772382736	0.22671513259410858
5025.9255599279	0.05156300589442253	0.22707489132881165
5025.969812748201	0.05121513828635216	0.22630761563777924
5026.0140655685	0.0504409596323967	0.22459064424037933
5026.0583183888	0.05085190013051033	0.22550365328788757
5026.1025712091	0.05032721161842346	0.22433726489543915
5026.1468240294	0.05101807788014412	0.22587181627750397
5026.1910768497	0.05089499056339264	0.22559918463230133
5026.23532967	0.050986360758543015	0.22580160200595856
5026.2795824903005	0.05100647360086441	0.22584612667560577
5026.3238353106	0.05046668276190758	0.2246479094028473
5026.3680881309	0.05097970366477966	0.22578684985637665
5026.4123409512	0.05068838596343994	0.22514081001281738
5026.4565937715	0.050830814987421036	0.22545690834522247
5026.5008465918	0.05108669400215149	0.22602365911006927
5026.5450994121	0.05080169811844826	0.22539232671260834
5026.5893522324	0.050002094358205795	0.2236114740371704
5026.633605052701	0.05015566945075989	0.22395461797714233
5026.677857873	0.049873895943164825	0.22332464158535004
5026.7221106933	0.049520496279001236	0.2225320190191269
5026.7663635136	0.05047408118844032	0.2246643751859665
5026.8106163339	0.05042930319905281	0.22456470131874084
5026.8548691542	0.04718916490674019	0.2172306776046753
5026.8991219745	0.04264645278453827	0.20651017129421234
5026.943374794801	0.034347258508205414	0.18533013761043549
5026.9876276151	0.02603232115507126	0.16134534776210785
5027.0318804354	0.024255694821476936	0.15574239194393158
5027.0761332557	0.027539897710084915	0.16595149040222168
5027.120386076	0.03322875499725342	0.1822875589132309
5027.1646388963	0.037210945039987564	0.1929013878107071
5027.2088917166	0.04032541811466217	0.20081189274787903
5027.2531445369	0.04405955225229263	0.20990367233753204
5027.2973973572	0.0467456690967083	0.21620747447013855
5027.3416501775	0.047597844153642654	0.21816930174827576
5027.3859029978	0.048070646822452545	0.21925018727779388
5027.4301558181	0.04794502630829811	0.21896353363990784
5027.4744086384	0.04777176305651665	0.21856752038002014
5027.5186614587	0.04660698398947716	0.21588650345802307
5027.562914279	0.04308021068572998	0.20755772292613983
5027.607167099301	0.036655306816101074	0.19145575165748596
5027.6514199196	0.03608332946896553	0.18995612859725952
5027.6956727399	0.040214814245700836	0.20053631067276
5027.7399255602	0.045299191027879715	0.21283607184886932
5027.7841783805	0.047905538231134415	0.21887333691120148
5027.8284312008	0.04893331974744797	0.22120876610279083
5027.8726840211	0.047255050390958786	0.2173822671175003
